sandwich,servingsize,calories,fat,protein,sodium,cholesterol,meat
Roast Beef Classic,154,360,14,31,970,60,roast beef
Roast Beef Mid,210,460,21,34,1420,95,roast beef
Roast Beef Max,267,560,27,45,1870,145,roast beef
Beef-n-Cheddar Classic,195,450,20,24,1310,60,roast beef
Beef-n-Cheddar Mid,251,560,27,34,1760,95,roast beef
French Dip & Swiss/Au jus,327,540,11,34,2560,100,roast beef
Junior Roast Beef,87,210,8,13,530,30,roast beef
Angus Three Cheese & Bacon,267,630,30,47,2220,120,steak
Angus Philly,289,590,27,38,2130,95,steak
Grand Turkey Club,233,480,24,31,1610,70,turkey
Roast Turkey Ranch & Bacon,344,800,35,48,2250,100,turkey
Roast Turkey & Swiss,326,700,28,39,1760,75,turkey
Cravin’ Chicken Crispy,221,500,22,27,1110,50,chicken
Chicken Bacon & Swiss Crispy,205,600,29,36,1430,80,chicken
Jr Ham and Cheddar Melt,115,210,6,14,900,25,ham
Jr Bacon Cheddar Melt,117,280,12,17,890,40,bacon
Reuben,308,640,30,32,1610,55,conrned beef
Arby-Q,182,400,11,19,1240,40,roast beef
Arby's Melt ,146,340,13,19,930,40,roast beef
Ham and Swiss Melt,131,300,9,19,1030,35,ham
Super Roast Beef,295,570,27,40,1720,105,roast beef
Chicken Cordon Bleu,241,620,31,38,1700,90,chicken
Jr Chicken,110,310,15,13,680,25,chicken
